brand,name,price,n_shades,rating
Smashbox,Try-Me: Face Primer Mini Set,C$38.00,,4 stars
Laura Mercier,Tinted Moisturizer - Oil Free,C$56.00,12 more colors,4.5 stars
MAKE UP FOR EVER,Mist & Fix Hydrating Setting Spray Mini,C$18.00,,5 stars
Anastasia Beverly Hills,Loose Pigments,C$29.00,4 more colors,5 stars
PAT McGRATH LABS,Skin Fetish Highlighter & Balm Duo,C$64.00,2 more colors,4 stars
Bobbi Brown,Intensive Skin Serum Concealer,C$60.00,5 more colors,3.5 stars
Smashbox,#SHAPEMATTERS PALETTE,C$69.00,,4.5 stars
Estée Lauder,Double Wear Stay-In-Place Foundation Pump,C$14.00,,4 stars
Smashbox,Photo Finish Radiance Primer,C$20.00 - C$51.00,,4 stars
Bobbi Brown,Instant Full Cover Concealer,C$41.00,11 more colors,3.5 stars
Urban Decay,All Nighter Long-Lasting Makeup Setting Spray Mini - Summer Solstice,C$20.00,,4 stars
Anastasia Beverly Hills,Sun Dipped Glow Kit,C$53.00,,4.5 stars
Artist Couture,Diamond Glow Powder,C$35.00 - C$36.00,11 more colors,4.5 stars
La Mer,The Powder,C$124.00,,4.5 stars
Kat Von D,Lock-It Setting Powder Brush,C$50.00,,5 stars
Giorgio Armani Beauty,Face Fabric Foundation,C$63.00,11 more colors,4 stars
BECCA,Ever-Matte Shine Proof Foundation,C$51.00,18 more colors,4 stars
Jouer Cosmetics,Powder Highlighter,C$30.00 - C$32.00,7 more colors,4.5 stars
rms beauty,Luminizing & Bronzing Powders,C$50.00,2 more colors,4.5 stars
Laura Mercier,Foundation Primer - Oil Free,C$48.00,,3.5 stars
tarte,Smooth Operator™ Amazonian Clay Finishing Powder,C$44.00,,4 stars
TOM FORD,Shade and Illuminate,C$115.00 - C$117.00,3 more colors,4.5 stars
NARS,Highlighting Powder,C$50.00,4 more colors,4.5 stars
Kat Von D,Lock-It Powder Foundation Refills,C$30.00 - C$31.00,25 more colors,5 stars
Guerlain,Météorites Primer Perfecting Pearls,C$89.00,,4.5 stars
Too Faced,Sugar Peach Wet and Dry Face & Eye Palette - Peaches and Cream Collection,C$55.00,,4.5 stars
La Mer,The Reparative SkinTint SPF 30,C$135.00,2 more colors,4 stars
NUDESTIX,Nudies All Over Face Color Bronze + Glow,C$38.00,2 more colors,4 stars
Benefit Cosmetics,The POREfessional Pearl Primer,C$18.00 - C$43.00,1 more color,4 stars
tarte,Amazonian Clay 12-hour Highlighter,C$38.00,2 more colors,4.5 stars
CLINIQUE,"Airbrush Concealer Illuminates, Perfects",C$30.00,1 more color,4 stars
SEPHORA COLLECTION,Golden Hour Luminous Bronzer,C$24.00,,5 stars
Lancôme,Teint Idole Ultra Wear Camouflage Color Corrector,C$41.00,4 more colors,4 stars
SEPHORA COLLECTION,Beauty Amplifier Set and Refresh Spray,C$22.00,,4 stars
Ciaté London,Dewy Stix - Luminous Highlighting Balm,C$34.00,2 more colors,4 stars
STELLAR,Limitless Foundation Customizable Set,C$55.00,,4 stars
SEPHORA COLLECTION,Make No Mistake High Coverage Concealer,C$18.50,15 more colors,4 stars
Too Faced,Diamond Light Multi-Use Highlighter,C$45.00,2 more colors,4 stars
Clarins,Instant Smooth Perfecting Touch,C$41.00,,4.5 stars
Touch In Sol,No Poreblem Primer,C$24.00,,4 stars
SEPHORA COLLECTION,Matte Perfection Full Coverage Foundation,C$26.50,21 more colors,4 stars
Natasha Denona,Contour Sculpting Powder,C$49.00,4 more colors,4 stars
Kopari,Coconut Rose Toner,C$33.00,,4.5 stars
Urban Decay,The Velvetizer Translucent Mix-In Medium,C$45.00,,4.5 stars
NARS,Super Radiant Booster,C$37.00,,4.5 stars
Pretty Vulgar,Cool AF Lava Water Foundation,C$50.00,14 more colors,4 stars
Kat Von D,Lock-It Foundation Kit,C$69.00,,3 stars
Dior,Airflash Radiance Mist Primer & Setting Spray,C$66.00,,4 stars
tarte,Quench Hydrating Primer - Sea Collection,C$21.00 - C$42.00,,4 stars
First Aid Beauty,Hello FAB Pores Be Gone Matte Primer,C$37.00,,4 stars
tarte,Tarteist™ PRO Glow Highlight & Blush,C$59.00,,4 stars
TOM FORD,Emotionproof Concealer,C$75.00,11 more colors,4 stars
Smashbox,Color Correcting Stick,C$33.00,3 more colors,3.5 stars
Ciaté London,Jessica Rabbit Glow-To Highlighter,C$43.00,,4.5 stars
Anastasia Beverly Hills,Contour Cream Kit,C$53.00,1 more color,3.5 stars
Urban Decay,All Nighter Pollution Protection Makeup Setting Spray Environmental Defense,C$45.00,,4.5 stars
ILIA,True Skin Serum Concealer,C$39.00 - C$40.00,11 more colors,4 stars
Giorgio Armani Beauty,Fluid Sheer,C$78.00,2 more colors,4 stars
Hourglass,Vanish™ Flash Highlighting Stick,C$55.00,4 more colors,4.5 stars
Kat Von D,Metal Crush Extreme Highlighter,C$36.00,4 more colors,4.5 stars
KORA Organics,Crystal Luminizer,C$35.00 - C$37.00,2 more colors,4 stars
bareMinerals,Blemish Rescue Anti-Redness Mattifying Primer - For Acne-Prone Skin,C$33.00,,4 stars
LAWLESS,Lucid Skin Highlighter,C$52.00,,5 stars
Yves Saint Laurent,TOP SECRETS Instant Matte Pore Refiner,C$49.00,,4.5 stars
Jouer Cosmetics,Molten Glow All Over Face & Body Highlighter,C$37.00,,5 stars
SEPHORA COLLECTION,Beauty Amplifier Ultra Smoothing Primer,C$20.00,,4 stars
surratt beauty,Surreal Skin Foundation Wand,C$90.00,14 more colors,4 stars
Bobbi Brown,Nude Finish Illuminating Setting Powder,C$70.00,2 more colors,4 stars
Urban Decay,De-Slick Mattifying Powder,C$45.00,,4.5 stars
