brand,name,price,n_shades,rating
Dior,Capture Dreamskin Fresh & Perfect Cushion Broad Spectrum,C$99.00,4 more colors,4 stars
TOM FORD,Waterproof Foundation & Concealer,C$115.00,3 more colors,4.5 stars
IT Cosmetics,Celebration Foundation Illumination,C$46.00,2 more colors,4 stars
Estée Lauder,Double Wear Light,C$56.00,9 more colors,4 stars
MILK MAKEUP,Sunshine Skin Tint,C$55.00,7 more colors,3.5 stars
MAKE UP FOR EVER,PREP. COVER. SET. Customizable Ultra HD Invisible Cover Foundation Set,C$69.00,,3.5 stars
Yves Saint Laurent,Le Teint Encre de Peau,C$74.00,9 more colors,4 stars
bareMinerals,Nothing Beats the Original™ 4-Piece Get Started® Kit,C$42.00,7 more colors,3.5 stars
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation,C$40.00,11 more colors,3.5 stars
Yves Saint Laurent,Le Cushion Encre de Peau Collector Edition,C$75.00,,No stars
lilah b.,Flawless Finish Foundation,C$64.00,4 more colors,4 stars
Givenchy,Matissme Velvet Radiant Mat Fluid Foundation,C$71.00 - C$75.00,11 more colors,4 stars
Yves Saint Laurent,Top Secrets All-In-One BB Crème Perfecteur De Teint,C$66.00,,4.5 stars
Lancôme,Teint Idole Ultra Cushion Foundation,C$57.00,7 more colors,1 star
Guerlain,Parure Gold Gold Radiance Foundation,C$99.00,,4.5 stars
SEPHORA COLLECTION,Bright Future Skin Tint,C$23.00,3 more colors,3.5 stars
Antonym,Skin Esteem Organic Liquid Foundation,C$67.00,5 more colors,3.5 stars
bareMinerals,bareSkin® Pure Brightening Serum Foundation Broad Spectrum SPF 20,C$37.00,1 more color,3.5 stars
Perricone MD,No Makeup Foundation Serum,C$84.00,5 more colors,No stars
Marc Jacobs Beauty,Shameless Youthful-Look 24H Foundation,C$59.00,28 more colors,3 stars
LANEIGE,BB Cushion Hydra Radiance SPF 50,C$50.00,4 more colors,4.5 stars
Dr. Jart+,Black Label Detox BB Beauty Balm,C$48.00,,4 stars
MAKE UP FOR EVER,Chromatic Mix – Oil Base,C$18.50,1 more color,4.5 stars
Cinema Secrets,Ultimate Foundation 5-in-1 Pro Palette™,C$48.00,5 more colors,4 stars
Giorgio Armani Beauty,Designer Lift Smoothing Firming Foundation,C$86.00,5 more colors,4.5 stars
Guerlain,Lingerie de Peau Powder Foundation Compact,C$75.00,5 more colors,4 stars
Yves Saint Laurent,Touche Éclat Le Cushion,C$75.00,,3.5 stars
Natasha Denona,Face Glow Foundation,C$54.00 - C$56.00,11 more colors,3.5 stars
